nodes	links	mat-reg	mat-red	pcd-red	star-reg	star-red	total	
120	3.0	0	7	0	3	10	
120	6	0	2	0	8	10	
120	12	0	7	0	3	10	
120	24	0	3	1	6	10	
240	3.0	0	7	0	3	10	
240	6	0	5	0	5	10	
240	12	0	1	0	9	10	
240	24	0	2	0	8	10	
480	3.0	0	5	0	5	10	
480	6	0	6	0	4	10	
480	12	0	1	0	9	10	
480	24	0	0	0	10	10	
