nodes	links	ldg	pcd	mtc	
20	31.6	2767.8	3250.0	3369.8	
20	60.0	2744.1	2752.8	2976.0	
40	61.6	2248.9	2387.2	2287.8	
40	120.1	2085.7	2486.0	2234.4	
