nodes	links	mat-reg	mat-red	star-reg	star-red	
120	3.0	10.7	14.2	56.0	59.0	
120	6	11.4	14.6	41.9	53.4	
120	12	13.7	16.5	40.6	54.6	
120	24	14.5	19.6	44.6	42.9	
240	3.0	10.5	14.1	58.1	59.8	
240	6	11.5	16.5	58.1111111111111	57.1	
240	12	15.1	17.2	51.1	54.8	
240	24	16.5	21.1	50.6	57.9	
480	3.0	12.3	15.7	71.0	76.0	
480	6	14.3	17.0	60.4	68.8888888888889	
480	12	15.3	19.4	61.9	58.7	
480	24	17.2	21.3	48.0	62.8	
