nodes	links	ldg	pcd	mtc	
20	33.0	[2289, "12, 501, 501, 501, 2289", 3]	[2289, "7, 6, 6, 6, 6, 2289", 0]	2607	
20	60.0	[2207, "13, 501, 501, 2207", 2]	[2639, "7, 6, 6, 2639", 0]	2207	
