nodes	links	mat	dep	
30	30	52, 47, 32, 42, 42, 37, 32, 786	12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 12, 11, 11, 11, 12, 11, 12, 11, 11, 11, 12, 11, 12, 12, 11, 12, 12, 11, 10, 11, 10, 11, 10, 12, 10, 12, 10, 12, 10, 11, 10, 11, 10, 11, 10, 12, 10, 12, 9, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 9, 12, 10, 11, 10, 11, 10, 11, 10, 12, 10, 12, 10, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 9, 12, 10, 11, 10, 11, 10, 11, 10, 12, 10, 12, 10, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 9, 12, 10, 11, 10, 11, 10, 11, 10, 12, 10, 12, 10, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 9, 12, 10, 11, 10, 11, 10, 11, 9, 12, 10, 12, 10, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 10, 11, 10, 11, 10, 11, 10, 12, 9, 12, 10, 11, 10, 11, 10, 11, 10, 12, 10, 12, 10, 11, 10, 11, 9, 11, 10, 12, 10, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 10, 11, 10, 11, 10, 11, 10, 12, 9, 12, 10, 11, 10, 11, 10, 11, 10, 12, 10, 12, 10, 11, 10, 11, 9, 11, 10, 12, 10, 12, 10, 11, 9, 11, 10, 11, 10, 12, 10, 12, 10, 10, 10, 11, 10, 9, 10, 12, 9, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 11, 10, 10, 10, 12, 10, 10, 10, 11, 10, 9, 10, 12, 9, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 11, 10, 10, 10, 12, 10, 10, 10, 11, 10, 9, 10, 12, 9, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 11, 10, 10, 10, 12, 10, 10, 10, 11, 10, 9, 10, 12, 9, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 12, 10, 10, 10, 12, 9, 10, 10, 11, 10, 9, 10, 12, 9, 10, 10, 12, 10, 10, 10, 11, 9, 10, 10, 11, 10, 9, 10, 11, 9, 10, 10, 11, 10, 9, 10, 11, 9, 11, 10, 13, 11, 10, 11, 12, 11, 10, 10, 12, 11, 12, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 10, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 14, 9, 12, 10, 14, 11, 12, 11, 14, 11, 10, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 11, 11, 11, 12, 12, 11, 14, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 10, 12, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 11, 12, 10, 12, 12, 12, 1254	
30	30	72, 27, 32, 652	10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 9, 10, 9, 10, 9, 10, 9, 10, 9, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 9, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 9, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 9, 9, 10, 10, 9, 10, 9, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 11, 10, 11, 11, 10, 10, 11, 10, 11, 11, 10, 10, 11, 10, 11, 11, 10, 10, 11, 10, 11, 11, 10, 10, 11, 10, 11, 11, 10, 10, 11, 10, 11, 11, 10, 10, 10, 10, 11, 9, 10, 10, 10, 10, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 10, 10, 9, 11, 9, 10, 11, 10, 9, 11, 9, 10, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 9, 10, 10, 10, 9, 10, 10, 9, 10, 1033	
30	30	37, 52, 57, 47, 673	10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 11, 10, 11, 10, 10, 10, 11, 10, 11, 10, 11, 10, 10, 10, 11, 10, 11, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 9, 10, 11, 10, 10, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 11, 11, 10, 11, 11, 11, 10, 11, 11, 11, 10, 11, 11, 11, 10, 11, 11, 11, 10, 11, 10, 11, 10, 10, 11, 10, 10, 11, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 10, 10, 11, 10, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 11, 12, 11, 10, 11, 11, 10, 12, 11, 10, 11, 11, 10, 12, 11, 10, 10, 11, 10, 12, 11, 10, 10, 11, 11, 12, 11, 10, 10, 11, 10, 12, 11, 10, 10, 11, 10, 12, 12, 10, 10, 12, 10, 12, 12, 10, 10, 12, 10, 12, 13, 10, 10, 13, 10, 12, 13, 10, 10, 13, 10, 12, 13, 10, 10, 13, 10, 11, 13, 10, 10, 13, 10, 11, 13, 10, 10, 13, 10, 11, 13, 10, 10, 13, 10, 11, 13, 10, 10, 13, 10, 11, 13, 10, 10, 13, 10, 10, 11, 12, 10, 11, 10, 12, 12, 10, 10, 11, 12, 10, 11, 13, 10, 10, 11, 11, 10, 10, 10, 12, 12, 10, 10, 11, 12, 10, 11, 13, 10, 10, 11, 11, 10, 11, 10, 12, 12, 10, 10, 11, 12, 10, 11, 13, 10, 10, 11, 11, 10, 10, 10, 12, 12, 10, 10, 11, 12, 10, 11, 13, 10, 10, 11, 11, 10, 10, 10, 11, 12, 11, 10, 11, 11, 10, 11, 12, 10, 10, 11, 11, 11, 10, 10, 13, 10, 10, 10, 12, 10, 11, 10, 11, 10, 10, 10, 11, 11, 11, 10, 12, 11, 10, 10, 12, 10, 10, 10, 11, 10, 10, 10, 11, 11, 11, 10, 12, 11, 10, 10, 12, 10, 10, 10, 11, 10, 10, 10, 11, 11, 11, 10, 13, 10, 10, 11, 12, 10, 11, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 11, 10, 11, 12, 10, 11, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 11, 10, 11, 13, 10, 11, 10, 11, 10, 10, 12, 12, 11, 10, 10, 11, 11, 10, 11, 13, 10, 11, 10, 11, 10, 10, 12, 12, 11, 10, 10, 14, 10, 10, 12, 11, 10, 11, 10, 14, 11, 10, 12, 11, 11, 11, 10, 14, 10, 10, 12, 12, 11, 11, 10, 12, 11, 10, 11, 13, 10, 11, 10, 14, 11, 10, 12, 11, 11, 11, 10, 14, 10, 10, 12, 11, 10, 11, 10, 14, 11, 10, 12, 13, 10, 11, 10, 12, 10, 10, 12, 12, 11, 10, 10, 14, 10, 10, 12, 11, 10, 11, 10, 14, 11, 10, 12, 11, 11, 11, 11, 14, 10, 10, 12, 11, 10, 11, 12, 14, 11, 10, 12, 11, 11, 11, 11, 14, 10, 10, 12, 11, 10, 11, 12, 14, 11, 10, 12, 11, 11, 11, 11, 14, 10, 10, 12, 11, 10, 11, 12, 14, 11, 10, 12, 11, 11, 11, 11, 14, 10, 10, 12, 11, 10, 11, 12, 14, 11, 10, 12, 11, 1016	
